3413,c
5430,s
3455,c
3404,c
5515,c
3436,c
7390,s
7395,s
7440,s
7454,s
3434,c
5431,c
7721,c
2856,c
17730,c
3414,c
3438,c
6009,s
7451,s
7438,s
7391,s
7388,s
15509,c
7876,c
3425,c
7588,s
7568,s
7562,s
7591,s
17752,c
7960,c
18052,c
3431,c
8180,e
11880,s
5750,c
9264,e
17726,c
6563,c
7861,c
8084,c
12971,s
7973,c
12571,s
12575,s
13456,s
11688,s
13452,s
14901,s
11756,s
5651,c
12918,s
11776,s
12939,s
12960,s
11930,s
11906,s
12160,s
12596,s
12675,s
11920,s
12924,s
12943,s
12585,s
12914,s
12154,s
11810,s
11803,s
11800,s
16154,s
11786,s
11766,s
11752,s
11741,s
11941,s
11731,s
11721,s
11711,s
12140,s
11701,s
11695,s
12144,s
11678,s
12216,s
12949,s
11910,s
13420,s
17353,c
13430,s
5516,c
12306,s
12953,s
12581,s
12592,s
11937,s
12440,s
12768,s
12164,s
12928,s
16044,s
12975,s
12964,s
12332,s
11926,s
9288,c
7992,c
5660,c
3716,s
17480,c
9310,c
17706,c
6564,c
5655,c
9704,c
7975,c
8920,c
9340,c
8025,c
12257,s
8175,c
7444,s
7413,s
7558,s
7546,s
7491,s
11318,s
7536,s
7460,s
7357,s
7522,s
8058,c
7352,s
7402,s
7511,s
7476,s
7506,s
8233,c
12054,s
12123,s
5513,c
11286,s
12271,s
11355,s
12264,s
11302,s
12287,s
12313,s
9821,c
11259,s
6579,c
11332,s
11243,s
11344,s
12749,s
17697,c
11211,s
11227,s
11195,s
19388,c
7585,s
7475,s
7516,s
7367,s
7468,s
7533,s
7541,s
7349,s
7579,s
18776,c
17699,c
7552,s
19235,c
6270,c
3721,s
8064,c
